ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.553092903267491415e-02,7.851321441092662390e-01,1.203070426353266997e+00,1.205034399632739950e+00,1.203081155190605545e+00,1.203016782166574261e+00,1.203264141471879656e+00,1.202854061466939628e+00
3.551006740451662785e-02,7.855726224866655949e-01,1.203056717283334409e+00,1.205085063586838645e+00,1.202875519141616723e+00,1.202891016351105735e+00,1.203090691934906475e+00,1.202988171933671468e+00
3.553510135830657141e-02,7.846982222435738841e-01,1.203112745656102378e+00,1.204933667771061367e+00,1.203075790771936271e+00,1.203078771004530312e+00,1.203082943330161969e+00,1.203109169376989529e+00
3.547966903205741068e-02,7.853502971351501438e-01,1.202027940991871491e+00,1.202592993091701645e+00,1.203006053329235714e+00,1.203088903795350051e+00,1.203082347283643161e+00,1.203035259608657315e+00
3.555000252127677590e-02,7.842362861914975447e-01,1.202897572862812625e+00,1.202640676813206300e+00,1.202978039142851729e+00,1.203134799377298281e+00,1.203202748680442413e+00,1.203035855655176123e+00
3.551662391622351783e-02,7.848937255017429671e-01,1.202979231235889346e+00,1.202681207976485256e+00,1.202217483784852492e+00,1.203036451701694931e+00,1.203011417747904988e+00,1.203074598678898655e+00
3.554106182349465320e-02,7.838232259539634761e-01,1.202982807515002195e+00,1.202696705185974269e+00,1.202822471001442795e+00,1.202886844025474078e+00,1.203003669143160481e+00,1.203069830306748189e+00
3.552556461400564053e-02,7.843703966582293852e-01,1.203045988445995862e+00,1.202507758439512076e+00,1.203063869841560107e+00,1.203106785190914296e+00,1.203009033561829755e+00,1.203128242865591391e+00
3.552437252096802417e-02,7.832027415278841609e-01,1.202933931700459924e+00,1.202690148674267379e+00,1.203132415191223048e+00,1.203134799377298281e+00,1.198256754667372137e+00,1.201774621221378014e+00
3.554702228868273500e-02,7.839394550251310712e-01,1.203032875422582082e+00,1.202502394020842802e+00,1.202973866817220072e+00,1.203106785190914296e+00,1.203139567749448746e+00,1.201695943080895335e+00
3.552079624185517509e-02,7.827008703590476735e-01,1.202928567281790651e+00,1.202617430998972781e+00,1.203036451701694931e+00,1.203041816120364205e+00,1.203217053796893810e+00,1.203128838912110199e+00
