ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9.082457909877051705e+00,1.982694015824081362e+02,3.077123400822091526e+02,3.078996798872565819e+02,3.078156534213606506e+02,3.080021867754682035e+02,3.077748939722649766e+02,3.070399400043415881e+02
9.082852492672502720e+00,1.982966742869227232e+02,3.076958701248014449e+02,3.079114559783287177e+02,3.078279099259269174e+02,3.079669580420205648e+02,3.077830824593403918e+02,3.070235582618186641e+02
9.081751594752264012e+00,1.982761994929551292e+02,3.076785037134294498e+02,3.079340121667399330e+02,3.078442857079846249e+02,3.080108425630143074e+02,3.077628210500265595e+02,3.070386644647913954e+02
9.081949482196508328e+00,1.982995412706781622e+02,3.076836130241886167e+02,3.079194871091231107e+02,3.078133395687746088e+02,3.080294112002147244e+02,3.077670291384492884e+02,3.070588263343365725e+02
9.081364164515038695e+00,1.983069095977436973e+02,3.077029952648872495e+02,3.079088488708554223e+02,3.078263369591637684e+02,3.080008546114986530e+02,3.077619585707138299e+02,3.070790734385339533e+02
9.081728348938028716e+00,1.983316723503675689e+02,3.077091494451939298e+02,3.079181704423630777e+02,3.078156337518255441e+02,3.080205712342943229e+02,3.077647874074921219e+02,3.070609244180827773e+02
9.082422743132440246e+00,1.983119557275719274e+02,3.076933357350034726e+02,3.079235306887067054e+02,3.078171357890529407e+02,3.080338743965476169e+02,3.077404412913848546e+02,3.070208402896928988e+02
9.081666956146591474e+00,1.982658241112022210e+02,3.077361128015652412e+02,3.079056421405842912e+02,3.077963140960114288e+02,3.080364481254158022e+02,3.077482757268280693e+02,3.069847586136768314e+02
9.081928024521831233e+00,1.982525459829027454e+02,3.077540031378272829e+02,3.079201379919216492e+02,3.078104594719957845e+02,3.080354169649382357e+02,3.077398696827733033e+02,3.069490220485952250e+02
9.082003126383199287e+00,1.983036444549136377e+02,3.077303275740537174e+02,3.078749469369586791e+02,3.078128752485364998e+02,3.080317238607077570e+02,3.077295539056723328e+02,3.070029010776163432e+02
9.081733117310179182e+00,1.983234612135244674e+02,3.077382913515914993e+02,3.079064229615238446e+02,3.078512534917895209e+02,3.080374417349626128e+02,3.077285036717061644e+02,3.070111116184128832e+02
9.082471022900463709e+00,1.983376912281145223e+02,3.077683040819530333e+02,3.079116181029818335e+02,3.078389618204786302e+02,3.080476251897364932e+02,3.077501324117341710e+02,3.070372160717506631e+02
9.081883321032918843e+00,1.982927976003643948e+02,3.077702436173252636e+02,3.078855345112722262e+02,3.078218898560869548e+02,3.080618820264198803e+02,3.077496150433557887e+02,3.070650830346444877e+02
9.080610165668744571e+00,1.982774154278534979e+02,3.077341428678205943e+02,3.079105923069229220e+02,3.078009924651375400e+02,3.080679688534699494e+02,3.077235988049029061e+02,3.070475443658285712e+02
9.081650266844064845e+00,1.983368877574071689e+02,3.077496925294033190e+02,3.078930679432234570e+02,3.078057977921721999e+02,3.080655757266969204e+02,3.077357372922583636e+02,3.070588233541039926e+02
9.080926666370231715e+00,1.983221284535084123e+02,3.077341357152623686e+02,3.079123840227584878e+02,3.078140983359930942e+02,3.080613402201342979e+02,3.077417883565173042e+02,3.070811542369311269e+02
9.081539402191566523e+00,1.982766787143562510e+02,3.077453288728390817e+02,3.078920016160013233e+02,3.078061941631071932e+02,3.080797813033796615e+02,3.077400139260308833e+02,3.070633962229962322e+02
9.081074485906896143e+00,1.983228711274708473e+02,3.077770749064773099e+02,3.078799894905077963e+02,3.077805164790769368e+02,3.080520037474636865e+02,3.077296707307900192e+02,3.070183452389651961e+02
9.081938753359168004e+00,1.982783249948412276e+02,3.077382436678700515e+02,3.078852966887112643e+02,3.078230139998214554e+02,3.080548802679634264e+02,3.077492240368395073e+02,3.069992306231535508e+02
9.081581125447883096e+00,1.983214531328026169e+02,3.077704772675606364e+02,3.078717682208738324e+02,3.078262731821862417e+02,3.080369762226314378e+02,3.077368578597137230e+02,3.070461800153470335e+02
9.080566654272871574e+00,1.983211288834963852e+02,3.077452078753957494e+02,3.078957823390701378e+02,3.078581855128032885e+02,3.080535898272502209e+02,3.077526119652524130e+02,3.070542320077695990e+02
9.080847988229749035e+00,1.983274082335720436e+02,3.077269456061060282e+02,3.079012522579732263e+02,3.078322211303974427e+02,3.080726335135261706e+02,3.077385124848499913e+02,3.070261701376641099e+02
